SRP356530/LEAVES_D-LEAVES_C	SRP098756/CROWN_D-CROWN_C	SRP098756/LEAVES_D-LEAVES_C	SRP098756/ROOTS_D-ROOTS_C	SRP072216/LEAVES_D-LEAVES_C	SRP072216/LEAVES_D-LEAVES_TABA
TraesCS1A02G097600						-0.461146257552711
TraesCS1A02G097700					-0.531777222493501	
TraesCS1A02G098800					-4.25876569727224	-3.10075833256512
TraesCS1A02G099300	0.674826837358878				-1.57122849825774	-0.675374004346343
TraesCS1A02G099400					0.71301886483013	
TraesCS1A02G100100					-1.19120339616781	
TraesCS1A02G100300					-0.794309576953535	
TraesCS1A02G100600	0.415572811274761				0.408768662508445	-0.566405129433959
TraesCS1A02G101000	-0.592083204722723					
TraesCS1A02G101200	-1.32384027072779				-0.819877019056812	
TraesCS1A02G101300					-1.05975858567551	
TraesCS1A02G102300	0.364668464620001					0.381141221554015
TraesCS1A02G102600	0.313381938484683				-0.185648999901151	
TraesCS1A02G102800	0.585274504377356					
TraesCS1A02G103000	-1.13426622195664					
TraesCS1A02G103900					-0.731638741273779	
TraesCS1A02G104500	1.30759508686667					
TraesCS1A02G105300	1.0354618706436					
TraesCS1A02G105600	0.571318270154761				-0.401761080142224	-0.166142165141036
TraesCS1A02G105800					-1.26915742396942	
TraesCS1A02G105900					-0.514750897219445	-0.509947928538994
TraesCS1A02G106000					-0.363109623594514	
TraesCS1A02G106100					-0.284200330016501	
TraesCS1A02G106200	-1.30201405459991					
TraesCS1A02G106500					0.423882282206684	
TraesCS1A02G106600	0.498828611925275				-0.458651275444126	
TraesCS1A02G106700					0.478409682369136	0.546113179965157
TraesCS1A02G107500	-2.3916836605266					
TraesCS1A02G108900		1.12402036667959				
TraesCS1A02G109200	-0.403505187933869			1.57251353341211		
TraesCS1A02G109500						-0.532384914501
TraesCS1A02G109600					0.554740600761872	0.818300995798524
TraesCS1A02G109700	-1.13726259915033					
TraesCS1A02G110000	-1.91620615225907					
TraesCS1A02G110200					-0.480125301474463	
TraesCS1A02G110300	-1.07994754282383					0.453008921255853
TraesCS1A02G110800	0.547669297158392					0.446617452957361
TraesCS1A02G110900	1.56766268700291					
TraesCS1A02G111000					-0.550103841780447	
TraesCS1A02G111100					0.416337303700473	
TraesCS1A02G111800	-1.22969798508752					
TraesCS1A02G111900	0.658493910404606					
TraesCS1A02G112000					-0.362757787069363	
TraesCS1A02G112200	-0.949832645676115			-1.00532741704608		
TraesCS1A02G112400						0.392936302141824
TraesCS1A02G112800						0.430297572244385
TraesCS1A02G113300	1.60555034042252			-2.35485022466131	-2.46828812715003	-0.89594526670443
TraesCS1A02G113700	-0.561637872031734					
TraesCS1A02G114300	-0.28414075424438					
TraesCS1A02G115000	1.45651693212037				0.27281275266034	
TraesCS1A02G115100					0.335012079144726	0.406936151988478
TraesCS1A02G115200	1.54812721886074					
TraesCS1A02G115400	0.575875838731756			4.67071144246538		
TraesCS1A02G115500	0.533235172657882					0.810417938042719
TraesCS1A02G115700					-1.34286662885782	
TraesCS1A02G115900	0.537576710272475				-0.371144774559597	-0.216066036723685
TraesCS1A02G116700	-1.27365351447333					
TraesCS1A02G116900					0.532011362793966	
TraesCS1A02G117400		-2.45959165015915				
TraesCS1A02G118400						0.442558207222903
TraesCS1A02G119100	-0.845335412794325					
TraesCS1A02G119300	-0.436701179177936					1.18232015189937
TraesCS1A02G119500	-0.851760414078301					0.996872879761289
TraesCS1A02G119600	1.27431947112245				-0.820615415956023	-0.852092968665339
TraesCS1A02G119700					-0.395690727980727	
TraesCS1A02G119800	-0.878061445031664					
TraesCS1A02G119900	-0.74066244911829					
TraesCS1A02G120100	-0.671292746695844				-0.760510536550014	
TraesCS1A02G120200					-0.449482918094931	-0.404989461268895
TraesCS1A02G120500	0.617181058591874					
TraesCS1A02G120800	1.69907954203423					
TraesCS1A02G120900	0.63932066713733					
TraesCS1A02G121000					0.238003723415218	
TraesCS1A02G121300	0.394032382568479					
TraesCS1A02G121500	-2.22145339564947					
TraesCS1A02G121800	-4.2097884163922					
TraesCS1A02G122000	1.2752838733659				0.507075487078069	
TraesCS1A02G122100		0.94338851986632				
TraesCS1A02G122200	0.73637487777189					
TraesCS1A02G122700					-0.353118134291092	
TraesCS1A02G122800	-1.24323166628545					
TraesCS1A02G123000					-0.723753378345428	
TraesCS1A02G123100	-0.790590139942054					0.775667291711643
TraesCS1A02G123600						-0.652400819271094
TraesCS1A02G123900						0.331677783402021
TraesCS1A02G124200	-1.02910246724831				-0.901620765737684	
TraesCS1A02G124400	0.751052372568728					-0.430741474418076
TraesCS1A02G124600		-1.8990482415962	-1.43712113825853		-0.239151536020947	0.41397644416055
TraesCS1A02G124800	1.45732926754449					0.325272457312804
TraesCS1A02G125000					-0.318792957154884	
TraesCS1A02G125300					-0.350838123807947	
TraesCS1A02G126100					-1.13084203679322	-1.11955806843367
TraesCS1A02G126300					-0.360089079835625	
TraesCS1A02G126900						0.383708774674128
TraesCS1A02G127000					-0.421407136662977	
TraesCS1A02G127400	0.881552024843091				-0.279043002518473	
TraesCS1A02G127500				2.22654151352359		
TraesCS1A02G127900	-0.72501451179042					1.01664022144989
TraesCS1A02G128100					0.288980779800574	
TraesCS1A02G128600	-0.486117047317918					0.309468926475397
TraesCS1A02G129100	0.928449775434588					
TraesCS1A02G129200					-0.347631945703497	
TraesCS1A02G129500	0.411821283240182					
TraesCS1A02G129600	2.31369343904904			-3.40821292966174	1.19607859722517	
TraesCS1A02G130700	-1.2959399613991					
TraesCS1A02G130800						0.230524041051089
TraesCS1A02G131000	-0.577219563305763					
TraesCS1A02G131200				0.765833343168051	-0.21567251454986	
TraesCS1A02G131300					-0.253096948205502	
TraesCS1A02G131700	1.04678040602072					
TraesCS1A02G131900	0.84763174800169				-0.291975885741105	-0.391736441171609
TraesCS1A02G132000	-1.08359377477184					
TraesCS1A02G132600	-0.320440699967141					
TraesCS1A02G133400					-0.196976847491797	
TraesCS1A02G133500						-0.334653181091229
TraesCS1A02G133700					-0.403160005032489	
TraesCS1A02G133900						-0.47457600072132
TraesCS1A02G134100	0.950800655137153					-0.539870386055852
TraesCS1A02G134300	-0.4413681453976					
TraesCS1A02G134600					-0.279864133026026	
TraesCS1A02G135100	0.986881441325013					
TraesCS1A02G135600						-0.420953417622009
TraesCS1A02G135700	0.935298437614177					-0.250031613315353
TraesCS1A02G136800					0.54847230589099	
TraesCS1A02G136900	-0.499079395531545					
TraesCS1A02G137400	-0.373906058196036					
TraesCS1A02G137500	0.617141233513795					
TraesCS1A02G137800						0.364149767738787
TraesCS1A02G138100	-0.700541341510611					
TraesCS1A02G138200						0.425555459838166
TraesCS1A02G138400	-0.765804751881438					
TraesCS1A02G138600	-0.315807029067731					
TraesCS1A02G138800	0.476402070402297				-0.493321399456666	
TraesCS1A02G139100					-0.170416849390943	0.166570954921304
TraesCS1A02G139300					-0.786068381765396	
TraesCS1A02G139400	-0.359547798511405					
TraesCS1A02G139900	-0.674685678748582					0.460666200443189
TraesCS1A02G140600	-0.781456316320371					
TraesCS1A02G140900	-0.426386663624798				0.382571260980551	
TraesCS1A02G141900	-1.33513474047281					
TraesCS1A02G142000	0.82375056707807				0.441710920004179	-0.370162959512278
TraesCS1A02G142400	0.680370626986412				-0.815081987912257	
TraesCS1A02G142500					-0.2517446875624	
TraesCS1A02G142600					-0.225135859431106	
TraesCS1A02G142800	-0.465457375134261					
TraesCS1A02G143000				-1.09994093465247	-0.544191665280497	
TraesCS1A02G143100						0.386067583176973
TraesCS1A02G143300						-0.396031716147112
TraesCS1A02G143400	-0.962781152820317					
TraesCS1A02G143800	-0.461735838010336					0.293312527881858
TraesCS1A02G144800	1.11496844644648			-2.06308316340108	0.597446483819528	-0.242132811382508
TraesCS1A02G145000					-0.835635458004109	
TraesCS1A02G145800	-1.72074268143867				-2.40794535318795	1.87686517150708
TraesCS1A02G146200					0.351672639806564	0.343412682894596
TraesCS1A02G148400	0.881362874176765	-1.57892393014151				
TraesCS1A02G149200					-0.23139828413324	
TraesCS1A02G149300						-0.436120233290396
TraesCS1A02G150100					-1.18015989952884	-0.489354320245947
TraesCS1A02G150400	-0.742372732288109					
TraesCS1A02G150600					0.183633652058872	
TraesCS1A02G150800						1.16561790506755
TraesCS1A02G150900	-3.26095066747834					0.836605752984438
TraesCS1A02G151100	-0.460502596889434				-0.337759691842203	
TraesCS1A02G151500	1.23895567196548					-0.57009899428683
TraesCS1A02G151600	-3.17190733291838					
TraesCS1A02G152200					-0.192893270265738	
TraesCS1A02G152300		1.37826300214217				
TraesCS1A02G152500					-0.81656267166102	
TraesCS1A02G152600					1.58665492964329	0.966437146312779
TraesCS1A02G152800					1.78723322534638	1.05634807711538
TraesCS1A02G152900	0.290464575881802					
TraesCS1A02G153100	-0.682463376245653					
TraesCS1A02G153200	1.33692104396393					
TraesCS1A02G153300					-0.432011380825342	
TraesCS1A02G153600					-0.293315372230319	
TraesCS1A02G155200	0.425744542087				-0.253284248596248	
TraesCS1A02G156500					-0.437066621279696	
TraesCS1A02G156600	-0.535544908571832					
TraesCS1A02G157100	1.15567999146438					
TraesCS1A02G157200	1.37846830124699					
TraesCS1A02G157500	0.539803344562321					
TraesCS1A02G157900	-1.0724260710416					
TraesCS1A02G158300	0.468317498739232				-0.339514939513578	
TraesCS1A02G158600	-1.34513041975586					0.688184589960971
TraesCS1A02G158700					-0.475135809177177	
TraesCS1A02G158900	-0.47723106569635					
TraesCS1A02G159200	-1.60632913585561					
TraesCS1A02G159400					0.357336159960101	
TraesCS1A02G160500	-0.416722449291039				0.267157932786958	
TraesCS1A02G161200	1.03042790908271					-0.508496305839992
TraesCS1A02G161900	0.559059394993219				-0.490115404661146	
TraesCS1A02G163000	-0.848611680033031					
TraesCS1A02G163400	-0.78946295124258				-0.456717151220316	
TraesCS1A02G163700	0.482401569414774	1.70985145906875			0.429269443828872	0.370922916332734
TraesCS1A02G164200	-0.586208573109953					
TraesCS1A02G164700	0.809002790038801					
TraesCS1A02G164800	-0.740349877471236				-0.619545169551712	-0.942312360632185
TraesCS1A02G164900					-0.910880436338294	
TraesCS1A02G165700	1.81463997879277					-0.635855337257269
TraesCS1A02G165800						-0.39694280131623
TraesCS1A02G166100	0.826572504744669				-2.03072214722768	
TraesCS1A02G166200	0.991637812740007				-2.17831691310957	
TraesCS1A02G166600				2.19530250276726	-3.15758973752972	
TraesCS1A02G166900					-0.437624414060321	
TraesCS1A02G168100	1.14930117072149				-0.891034398650414	
TraesCS1A02G168400	1.17860765520112				0.456384889139558	-0.603997808260377
TraesCS1A02G168600	1.12585550990123					1.16451628860622
TraesCS1A02G168900					-0.276608167961242	
TraesCS1A02G169300				1.9721522571625		0.78839073405832
TraesCS1A02G169500	0.869091294778225					
TraesCS1A02G170200					-0.315675420305273	-0.248885211937992
TraesCS1A02G170400						0.282852995677826
TraesCS1A02G170600	-0.448894948443443				0.335884366592094	
TraesCS1A02G170700	2.89473314763538				0.669572312116738	
TraesCS1A02G171000	1.97465437891287				0.317376403876937	
TraesCS1A02G171200		-0.989948236342982		-1.10824418294784		
TraesCS1A02G172100					-0.339055416255951	
TraesCS1A02G172700	1.1104511725125					-0.539368704620004
TraesCS1A02G173100	1.60328284338288					-0.827386838149997
TraesCS1A02G173200					-1.38551719443961	-0.402587428440318
TraesCS1A02G173700	0.571345198745986					-0.40100587291384
TraesCS1A02G174000	0.358397143111687				-0.200337880972328	-0.25686894641587
TraesCS1A02G174500	-0.878026103333781					
TraesCS1A02G174700	-0.36798690927617				0.399644836504204	
TraesCS1A02G175000						-0.846262283756852
TraesCS1A02G175200						0.442817640398244
TraesCS1A02G175500	2.21465641995544	2.26711513879144		5.27011580390664		1.78014306535653
TraesCS1A02G175700	0.332312891503849					
TraesCS1A02G176100	-1.34300454451681	1.18495552194779				
TraesCS1A02G176500	-0.344173543839603				0.276747844698124	0.231858513098084
TraesCS1A02G176700	-0.918661609423578					
TraesCS1A02G176800					-0.739234727832389	-0.525007791652139
TraesCS1A02G176900	-1.1242871436315	0.907890343170247		1.11780725196583		
TraesCS1A02G177500	1.99462340150704					
TraesCS1A02G177600					-0.492534924655446	-0.594511840260839
TraesCS1A02G177800	0.744743186107448					
TraesCS1A02G178100						0.489052880173755
TraesCS1A02G178700	1.5074026862073					
TraesCS1A02G179000		-0.700030996430548				
TraesCS1A02G179400					0.5584479807583	-0.873175562490936
TraesCS1A02G179500	1.04012222294385					-0.272132208032261
TraesCS1A02G179600		0.879645455220863			0.594904231749312	0.634444339273768
TraesCS1A02G179700	0.532250973017667					
TraesCS1A02G180000	1.0272990013363				1.90259373891313	
TraesCS1A02G180200					-0.833547361188259	
TraesCS1A02G180400	0.655222728194226					
TraesCS1A02G180800	0.890210603552287				0.329063307671654	
TraesCS1A02G181000	2.03849164208652				-2.21913386723601	
TraesCS1A02G181100					0.885367010516077	
TraesCS1A02G181500						0.434410883739673
TraesCS1A02G181600						0.630405545396616
TraesCS1A02G181900	-0.838808889358151					
TraesCS1A02G182100					-0.421729585752939	-0.429696984740775
TraesCS1A02G182200					0.895140231669359	
TraesCS1A02G182900					0.640514798193439	
TraesCS1A02G183000		1.41805779985279			0.509733356692305	0.882580929422657
TraesCS1A02G183400	-0.342424405201988					
TraesCS1A02G183800	-0.555950623445457				-0.402342206995095	0.30734173422183
TraesCS1A02G184000	1.86718638197031					
TraesCS1A02G184500					-0.548481964238654	
TraesCS1A02G184600					-0.611598465354639	
TraesCS1A02G185200	2.24851768443379				0.251729430061885	
TraesCS1A02G185900						0.38079179016168
TraesCS1A02G186100	2.00930467061938				-0.616306227451863	-1.58465598224877
TraesCS1A02G186500					-1.30662125329711	-0.900216491131472
TraesCS1A02G186700					-1.14550938511447	-0.797792927289732
TraesCS1A02G186800	0.891966507109718				-1.09443341104301	
TraesCS1A02G187000	2.44792457173422					
TraesCS1A02G187400	-0.643978016637937					
TraesCS1A02G188000	1.0351205064658					0.606550309503179
TraesCS1A02G188600	1.09903583296731					
TraesCS1A02G188700	-1.23392815202527					
TraesCS1A02G189000					-0.399818206419775	
TraesCS1A02G189100	0.593844840254486					
TraesCS1A02G189900	1.06312770105614					
TraesCS1A02G190500					-0.709562440854937	
TraesCS1A02G190700	-0.507618058787722					
TraesCS1A02G190800					-0.345198261626101	
TraesCS1A02G190900	-1.14780192103188					
TraesCS1A02G191300	0.78532099662512					
TraesCS1A02G191400	0.54164488074952					
TraesCS1A02G191700						-0.865786725268411
TraesCS1A02G191800	1.01402247962482					-0.439126814488391
TraesCS1A02G192300	0.489525572016655					
TraesCS1A02G192400						0.428008949728522
TraesCS1A02G192600						-0.715672908889044
TraesCS1A02G192800	0.633240535897236					-0.416381147469157
TraesCS1A02G193500	1.51826952496917				-0.185717423293379	-0.232351033257227
TraesCS1A02G194000	0.462426171867778					
TraesCS1A02G194400					-0.369063058695927	
TraesCS1A02G194900	-0.65476635998307					
TraesCS1A02G195000	-0.48372084987709				0.179010612220793	
TraesCS1A02G195200	0.83293806732412					-0.269908069071535
TraesCS1A02G195400	-0.312491436105175				-0.155468434226232	
TraesCS1A02G195500	1.5543776347756				0.259854964228496	-0.380059949454507
TraesCS1A02G195900	0.728504413947149				0.27959982602998	
TraesCS1A02G196500	1.51787424198377					-0.76655347634653
TraesCS1A02G196600	-0.563842548640521			1.58733821864709	-0.518254094520451	
TraesCS1A02G196800	-0.591367046922488					
